age,ftm,ptm,ftf,ptf
40,315,18,185,139
41,316,18,174,132
42,298,19,177,131
43,308,11,177,130
44,297,15,188,134
45,291,12,186,138
46,298,16,199,132
47,303,14,208,135
48,299,16,198,124
49,271,16,192,120
50,269,13,188,123
51,260,12,176,118
52,238,13,179,103
53,249,15,171,111
54,217,16,159,118
55,204,14,134,107
56,192,18,129,92
57,174,18,121,99
58,163,21,110,88
59,156,21,98,84
60,124,23,70,75
61,119,22,47,67
62,115,30,34,69
63,105,28,30,68
64,90,35,24,54
65,28,28,12,39
66,21,23,9,36
67,17,23,8,27
68,12,20,4,23
69,8,12,3,19
70,3,11,1,14
