class,sex,type,1982-86,1987-91,92-96,97-01,02-Jun,07-Nov
"Higher Managerial, Administrative and Professional",f,CLL1,79.4,80.9,81.4,82.3,83.1,84.3
"Higher Managerial, Administrative and Professional",f,Life Ex1,80,81.4,81.9,82.7,83.5,84.7
"Higher Managerial, Administrative and Professional",f,CLU1,80.6,81.9,82.4,83.1,83.9,85.1
Intermediate,f,CLL1,79.1,80.3,80.9,81.2,82.3,83.3
Intermediate,f,Life Ex1,79.6,80.8,81.4,81.6,82.7,83.7
Intermediate,f,CLU1,80.1,81.3,81.9,82,83.1,84.1
Routine and Manual,f,CLL1,77.4,77.8,78.9,79.3,79.9,81.1
Routine and Manual,f,Life Ex1,77.8,78.2,79.2,79.6,80.2,81.4
Routine and Manual,f,CLU1,78.2,78.6,79.5,79.9,80.5,81.7
"Higher Managerial, Administrative and Professional",m,CLL1,74.4,75.6,76.9,78.4,79.6,81.1
"Higher Managerial, Administrative and Professional",m,Life Ex1,74.9,76,77.3,78.8,80,81.5
"Higher Managerial, Administrative and Professional",m,CLU1,75.4,76.4,77.7,79.2,80.4,81.9
Intermediate,m,CLL1,73,74.1,75.3,76.6,77.7,79.7
Intermediate,m,Life Ex1,73.5,74.6,75.8,77.1,78.2,80.2
Intermediate,m,CLU1,74,75.1,76.3,77.6,78.7,80.7
Routine and Manual,m,CLL1,71.1,71.9,72.7,74,75.2,77.4
Routine and Manual,m,Life Ex1,71.4,72.2,73,74.3,75.5,77.7
Routine and Manual,,CLU1,71.7,72.5,73.3,74.6,75.8,78.0
