Fig 1.6,CDR,IMR
1953,11.4,27.6
1954,11.4,26.4
1955,11.7,25.8
1956,11.7,24.4
1957,11.5,23.9
1958,11.7,23.3
1959,11.7,23.1
1960,11.5,22.5
1961,12,22.1
1962,11.9,22.4
1963,12.2,21.8
1964,11.3,20.6
1965,11.6,19.6
1966,11.8,19.6
1967,11.2,18.8
1968,11.9,18.7
1969,11.9,18.6
1970,11.8,18.5
1971,11.5,17.9
1972,12,17.5
1973,11.9,17.2
1974,11.9,16.8
1975,11.8,16
1976,12.1,14.5
1977,11.7,14.1
1978,11.9,13.3
1979,12,12.9
1980,11.7,12.1
1981,11.7,11.2
1982,11.8,11
1983,11.7,10.2
1984,11.4,9.6
1985,11.9,9.4
1986,11.7,9.5
1987,11.3,9.1
1988,11.4,9
1989,11.5,8.4
1990,11.2,7.9
1991,11.2,7.4
1992,11,6.6
1993,11.4,6.4
1994,10.8,6.2
1995,11.1,6.2
1996,11,6.1
1997,10.8,5.9
1998,10.7,5.8
1999,10.7,5.8
2000,10.4,5.6
2001,10.2,5.5
2002,10.3,5.3
2003,10.3,5.3
2004,9.8,5.1
2005,9.7,5.1
2006,9.4,5
2007,9.4,4.8
2008,9.4,4.7
2009,9.1,4.6
2010,9,4.3
2011,8.7,4.3
2012,8.9,4.1
